"","sender","recver","value","nodelab2","nodelab1"
"794",446,542,3.03,"duncans industries ltd","consolidated fibres chemicals ltd"
"795",446,616,1.59,"ezra trading finance company ltd","consolidated fibres chemicals ltd"
"796",446,1065,3.54,"kangra valley investment finance company ltd","consolidated fibres chemicals ltd"
"797",446,1341,1.31,"mega resources ltd","consolidated fibres chemicals ltd"
"798",451,341,2.1,"boi finance ltd","coventry spring engg. co. ltd"
"799",451,654,1.05,"fortis financial services ltd","coventry spring engg. co. ltd"
"800",451,926,1.05,"integrated advisory services ltd","coventry spring engg. co. ltd"
"801",451,1429,1.47,"nagarjuna finance ltd","coventry spring engg. co. ltd"
"802",451,2058,4.2,"sbi capital markets ltd","coventry spring engg. co. ltd"
"803",452,1810,3.14,"rajesh rajeev investments pvt ltd","cravatex ltd"
"804",453,921,1.93,"innovative capital strategies pvt ltd","credence sound vision ltd"
"805",455,609,1.21,"ewart investments ltd","crest animation studios ltd"
"806",455,2450,1.21,"tata industries ltd","crest animation studios ltd"
"807",455,2453,3.4,"tata investment corpn. ltd","crest animation studios ltd"
"808",456,377,1.92,"canara bank","crisil ltd"
"809",456,698,2.85,"general insurance corporation of india","crisil ltd"
"810",456,864,11.03,"i c i c i ltd [merged]","crisil ltd"
"811",456,1191,3.25,"life insurance corporation of india","crisil ltd"
"812",456,2298,3.23,"state bank of india","crisil ltd"
"813",456,2550,1.14,"united india insurance company ltd","crisil ltd"
"814",459,2058,2.06,"sbi capital markets ltd","cubex tubings ltd"
"815",460,1115,7.02,"kirloskar oil engines ltd","cummins india ltd"
"816",462,1358,3.39,"milton securities ltd","cybermate infotek ltd"
"817",462,2317,3.51,"subhkam securities pvt ltd","cybermate infotek ltd"
"818",463,88,2.08,"amrit sales promotion pvt ltd","cyberscape multimedia ltd"
"819",463,361,4.95,"burlington finance ltd","cyberscape multimedia ltd"
"820",463,1086,1.73,"kayton trade finance ltd","cyberscape multimedia ltd"
"821",463,2106,1.43,"shankar sales promotion pvt ltd","cyberscape multimedia ltd"
"822",463,2353,1.09,"sungarce merchandise pvt ltd","cyberscape multimedia ltd"
"823",469,2360,8.86,"sunita vinay goenka","d p i l ltd"
"824",469,2644,17.45,"vinay kumar goenka","d p i l ltd"
"825",470,234,3.79,"bajaj auto ltd","d s j communications ltd"
"826",470,748,3,"gujarat industrial investment corporation ltd","d s j communications ltd"
"827",471,912,1.19,"indusind bank ltd","d s q software ltd"
"828",471,1522,1.17,"niskalp investments trading company ltd","d s q software ltd"
"829",472,435,1.75,"classic credit ltd","d-link (india) ltd"
"830",472,714,3.33,"global trust bank ltd [merged]","d-link (india) ltd"
"831",472,1378,1.16,"moneshi consultancy pvt ltd","d-link (india) ltd"
"832",473,1873,12.64,"renu jain","dagger-forst tools ltd"
"833",473,2037,31.74,"satta securities pvt ltd","dagger-forst tools ltd"
"834",473,2561,22.93,"upendra shukla","dagger-forst tools ltd"
"835",477,2105,1.05,"shankar resources pvt ltd","dalmia cement (bharat) ltd"
"836",485,69,6.16,"allen alvan pvt ltd","darshan oils ltd"
"837",485,1673,7.01,"pnb capital services ltd","darshan oils ltd"
"838",485,2718,2.34,"worldlink finance ltd","darshan oils ltd"
"839",487,234,3.18,"bajaj auto ltd","datasoft application software (india) ltd"
"840",487,1747,1.56,"puja agencies pvt ltd","datasoft application software (india) ltd"
"841",496,1312,10.27,"maruti udyog ltd","denso india ltd"
"842",504,250,1.03,"balwant rai dewan","dewan rubber inds. ltd"
"843",504,946,4.43,"ivory coast securities ltd","dewan rubber inds. ltd"
"844",504,1082,1.1,"kasturi lal dewan","dewan rubber inds. ltd"
"845",504,1495,2.55,"neotech solutions securities ltd","dewan rubber inds. ltd"
"846",504,2565,1.59,"usha credits pvt ltd","dewan rubber inds. ltd"
"847",504,2625,2.51,"vidya sagar dewan","dewan rubber inds. ltd"
"848",504,2628,3.78,"vigilent securities pvt ltd","dewan rubber inds. ltd"
"849",505,946,7.81,"ivory coast securities ltd","dewan steels ltd"
"850",505,1495,11.07,"neotech solutions securities ltd","dewan steels ltd"
"851",505,1593,4.78,"p k capitals pvt ltd","dewan steels ltd"
"852",505,2565,6.48,"usha credits pvt ltd","dewan steels ltd"
"853",505,2583,4.7,"v s dewan","dewan steels ltd"
"854",506,250,4.21,"balwant rai dewan","dewan tyres ltd"
"855",506,504,1.17,"dewan rubber inds. ltd","dewan tyres ltd"
"856",506,1082,4.38,"kasturi lal dewan","dewan tyres ltd"
"857",506,1186,1.14,"leading securities pvt ltd","dewan tyres ltd"
"858",506,2565,1.47,"usha credits pvt ltd","dewan tyres ltd"
"859",506,2583,2.77,"v s dewan","dewan tyres ltd"
"860",506,2625,4.07,"vidya sagar dewan","dewan tyres ltd"
"861",510,511,51.99,"dhampur sugar mills ltd","dhampur sugar (kashipur) ltd"
"862",510,719,8.12,"goel investments ltd","dhampur sugar (kashipur) ltd"
"863",510,1633,1.03,"parishram properties pvt ltd","dhampur sugar (kashipur) ltd"
"864",511,234,3.93,"bajaj auto ltd","dhampur sugar mills ltd"
"865",511,719,14.8,"goel investments ltd","dhampur sugar mills ltd"
"866",511,2024,9.75,"saraswati properties ltd","dhampur sugar mills ltd"
"867",511,2631,3.59,"vijay kumar goel","dhampur sugar mills ltd"
"868",512,511,15.09,"dhampur sugar mills ltd","dhampure specialty sugars ltd"
"869",512,2024,4.23,"saraswati properties ltd","dhampure specialty sugars ltd"
"870",518,346,1.15,"borax morarji ltd","dharamsi morarji chemical co. ltd"
"871",518,1180,21.81,"laxmikumar narottam goculdas","dharamsi morarji chemical co. ltd"
"872",518,1228,2.64,"maanraj trading pvt ltd","dharamsi morarji chemical co. ltd"
"873",518,1662,1.44,"phoenix distributors pvt ltd","dharamsi morarji chemical co. ltd"
"874",518,1837,17.49,"ranchoddas mathradas goculdas","dharamsi morarji chemical co. ltd"
"875",520,304,1.03,"bhupendra b gandhi","dharnendra agro food inds. ltd"
"876",520,521,14.07,"dharnendra overseas ltd","dharnendra agro food inds. ltd"
"877",521,1913,18,"rushabh capital financial services ltd","dharnendra overseas ltd"
"878",525,1329,12.17,"mayfair india ltd","dhunseri tea inds. ltd"
"879",525,1360,7.86,"mint investments ltd","dhunseri tea inds. ltd"
"880",525,1428,28.64,"naga dhunseri group ltd","dhunseri tea inds. ltd"
"881",525,1672,9.59,"plenty valley intra ltd","dhunseri tea inds. ltd"
"882",525,2107,4.86,"shankarlal dhanuka","dhunseri tea inds. ltd"
"883",534,1141,7.26,"ksiidc ltd","disa india ltd"
"884",534,1641,3,"pat financial consultants pvt ltd","disa india ltd"
"885",534,2367,2.36,"superior financial consultancy services pvt ltd","disa india ltd"
"886",534,2453,1.32,"tata investment corpn. ltd","disa india ltd"
"887",539,877,4.71,"ind bank merchant banking services ltd","doon valley rice ltd"
"888",543,834,2.38,"hinduja tmt ltd","dynamatic technologies ltd"
"889",543,1498,1.22,"networth stock broking ltd","dynamatic technologies ltd"
"890",545,857,1.12,"housing development finance corporation ltd","e i d-parry (india) ltd"
"891",545,1411,10.51,"murugappa group equity investment trust","e i d-parry (india) ltd"
"892",545,1499,3.93,"new ambadi estates pvt ltd","e i d-parry (india) ltd"
"893",545,1500,3.15,"new ambadi investments pvt ltd","e i d-parry (india) ltd"
"894",545,1634,17.41,"parry agro inds. ltd","e i d-parry (india) ltd"
"895",545,1645,1.64,"patton ltd","e i d-parry (india) ltd"
"896",546,450,13.36,"coronet investment pvt ltd","e i h associated hotels ltd"
"897",546,1284,13.94,"manali investment finance pvt ltd","e i h associated hotels ltd"
"898",546,1545,2.59,"oberoi holdings pvt ltd","e i h associated hotels ltd"
"899",547,1545,5.6,"oberoi holdings pvt ltd","e i h ltd"
"900",548,445,3.86,"conrad telefilms ltd","e t p corporation ltd"
"901",548,943,3.71,"ispat sheets ltd","e t p corporation ltd"
"902",548,963,2.01,"jagdishwar pharmaceuticals works ltd","e t p corporation ltd"
"903",548,1118,2.69,"kirti electro system pvt ltd","e t p corporation ltd"
"904",548,1160,3.14,"laffan software ltd","e t p corporation ltd"
"905",548,1201,3.44,"logic infotech ltd","e t p corporation ltd"
"906",548,1332,2.62,"mayuri finvest pvt ltd","e t p corporation ltd"
"907",548,1351,2.91,"michael merchandise pvt ltd","e t p corporation ltd"
"908",548,1415,4.29,"n e electronics ltd","e t p corporation ltd"
"909",548,1457,3.73,"narendra impex ltd","e t p corporation ltd"
"910",548,1564,2.29,"online information technologies ltd","e t p corporation ltd"
"911",548,2227,2.79,"solex finexim pvt ltd","e t p corporation ltd"
"912",548,2243,2.8,"sophia exports ltd","e t p corporation ltd"
"913",548,2266,2.03,"spirit inv fin pvt ltd","e t p corporation ltd"
"914",548,2363,2.74,"super finance ltd","e t p corporation ltd"
"915",548,2593,2.79,"vallantine finexim pvt ltd","e t p corporation ltd"
"916",548,2649,2.83,"vindhyachal securities ltd","e t p corporation ltd"
"917",549,907,29.82,"indo zinc ltd","e-metals india ltd"
"918",549,1295,2.57,"manoj agrawal","e-metals india ltd"
"919",549,2009,5.4,"sanjay agrawal","e-metals india ltd"
"920",549,2563,2.49,"upsurge investment finance ltd","e-metals india ltd"
"921",550,486,1.39,"darshana haresh jhaveri","eastcoast steel ltd"
"922",550,2708,33.08,"western rolling mills pvt ltd","eastcoast steel ltd"
"923",552,2178,18.72,"shruti ltd","eastern sugar inds. ltd"
"924",553,1093,11,"kerala state industrial development corporation ltd","eastern treads ltd"
"925",555,251,7.1,"bambino investments trading company ltd","ecoplast ltd"
"926",555,2453,2.3,"tata investment corpn. ltd","ecoplast ltd"
"927",560,1522,1.09,"niskalp investments trading company ltd","elbee services ltd"
"928",560,2106,1.42,"shankar sales promotion pvt ltd","elbee services ltd"
"929",561,1929,1.92,"s k garg","eldeco housing inds. ltd"
"930",562,57,16.19,"akshaya holdings pvt ltd","elder health care ltd"
"931",562,563,8.03,"elder pharmaceuticals ltd","elder health care ltd"
"932",562,880,2.16,"indarts exports pvt ltd","elder health care ltd"
"933",562,958,5.09,"j saxena","elder health care ltd"
"934",562,2070,9.72,"semit pharmaceuticals chemicals pvt ltd","elder health care ltd"
"935",563,57,7.02,"akshaya holdings pvt ltd","elder pharmaceuticals ltd"
"936",563,73,2.35,"alok saxena","elder pharmaceuticals ltd"
"937",563,129,2.36,"anuj saxena","elder pharmaceuticals ltd"
"938",563,880,5.86,"indarts exports pvt ltd","elder pharmaceuticals ltd"
"939",563,958,3.61,"j saxena","elder pharmaceuticals ltd"
"940",563,1523,1.95,"niti saxena","elder pharmaceuticals ltd"
"941",563,2070,4.36,"semit pharmaceuticals chemicals pvt ltd","elder pharmaceuticals ltd"
"942",563,2102,1.34,"shalini saxena","elder pharmaceuticals ltd"
"943",563,2214,3.43,"sneh saxena","elder pharmaceuticals ltd"
"944",564,57,19.54,"akshaya holdings pvt ltd","elder projects ltd"
"945",564,73,1.86,"alok saxena","elder projects ltd"
"946",564,129,1.96,"anuj saxena","elder projects ltd"
"947",564,537,2.32,"domebell investments pvt ltd","elder projects ltd"
"948",564,563,9.29,"elder pharmaceuticals ltd","elder projects ltd"
"949",564,880,2,"indarts exports pvt ltd","elder projects ltd"
"950",564,958,10.5,"j saxena","elder projects ltd"
"951",564,1094,2.32,"keshar dhoot investment company pvt ltd","elder projects ltd"
"952",564,1812,2.32,"rajkumar engineering pvt ltd","elder projects ltd"
"953",564,2070,7.84,"semit pharmaceuticals chemicals pvt ltd","elder projects ltd"
"954",564,2150,2.32,"shree dhoot trading agencies pvt ltd","elder projects ltd"
"955",564,2214,2.32,"sneh saxena","elder projects ltd"
"956",564,2613,2.32,"venugopal engineering pvt ltd","elder projects ltd"
"957",564,2619,2.32,"videocon appliances ltd","elder projects ltd"
"958",564,2623,2.32,"videocon international ltd","elder projects ltd"
"959",565,147,1.66,"arihant capital markets ltd","electra financial services ltd"
"960",565,2310,1.9,"sti finance ltd","electra financial services ltd"
"961",566,2574,8.52,"uttam commercial ltd","electrosteel castings ltd"
"962",567,332,3.28,"blue moon securities pvt ltd","elgi equipments ltd"
"963",567,482,14.11,"dark horse portfolio investment ltd","elgi equipments ltd"
"964",567,569,3.5,"elgi ultra industries ltd","elgi equipments ltd"
"965",567,2105,3.67,"shankar resources pvt ltd","elgi equipments ltd"
"966",567,2517,1.86,"trupti petroleums pvt ltd","elgi equipments ltd"
"967",568,482,2.32,"dark horse portfolio investment ltd","elgi finance ltd"
"968",568,569,13.87,"elgi ultra industries ltd","elgi finance ltd"
"969",568,570,1.55,"elgitread india ltd","elgi finance ltd"
"970",572,2140,2.51,"shiv prakash mittal","ellora paper mills ltd"
"971",572,2360,1.14,"sunita vinay goenka","ellora paper mills ltd"
"972",574,936,1.65,"investrick securities india pvt ltd","emco ltd"
"973",574,1326,1.65,"maya trade links ltd","emco ltd"
"974",578,579,8.91,"empire international holdings ltd","empire industries ltd"
"975",583,1053,2.24,"kalyan vyapaar pvt ltd","encore software ltd"
"976",584,1980,1.22,"sahara india international corporation ltd","energy development co. ltd"
"977",584,2677,1.22,"vora stock holdings pvt ltd","energy development co. ltd"
"978",588,89,3.18,"amrut securities ltd","enrich industries ltd"
"979",588,586,3.17,"enrich financial services pvt ltd","enrich industries ltd"
"980",588,614,3.97,"expert technologies consultants pvt ltd","enrich industries ltd"
"981",588,1258,4.92,"mahan industries ltd","enrich industries ltd"
"982",589,165,15.59,"asara sales investments pvt ltd","envair electrodyne ltd"
"983",589,271,1.2,"better value holdings pvt ltd","envair electrodyne ltd"
"984",592,1184,1.78,"lead financial services ltd","era constructions (india) ltd"
"985",592,1189,1.15,"lfs securities ltd","era constructions (india) ltd"
"986",593,2278,1.44,"srei international finance ltd","esaar (india) ltd"
"987",594,1566,3.82,"optimates finvest pvt ltd","esab india ltd"
"988",594,2321,4.26,"sudarshan securities pvt ltd","esab india ltd"
"989",596,294,3.1,"bhavana tayal","eskay knit (india) ltd"
"990",596,494,11.84,"delux polymers pvt ltd","eskay knit (india) ltd"
"991",596,993,6.09,"jayshree petrochemicals pvt ltd","eskay knit (india) ltd"
"992",596,1031,2.43,"jyotika tayal","eskay knit (india) ltd"
"993",596,1137,11.93,"krishna knitwear technology ltd","eskay knit (india) ltd"
"994",596,1476,4.01,"navin kumar tayal","eskay knit (india) ltd"
"995",596,1707,4.47,"pravin kumar tayal","eskay knit (india) ltd"
"996",596,1834,7.56,"rampratap tayal","eskay knit (india) ltd"
"997",596,2015,4.06,"sanjay kumar tayal","eskay knit (india) ltd"
"998",596,2153,2.1,"shree ganesh hosiery mills pvt ltd","eskay knit (india) ltd"
"999",596,2156,2.91,"shree krishna silk industries pvt ltd","eskay knit (india) ltd"
"1000",596,2594,3.4,"vandana tayal","eskay knit (india) ltd"
"1001",597,62,3.79,"alavel finvest pvt ltd","esquire money guarantees ltd"
"1002",597,412,3.54,"charishma engineering ltd","esquire money guarantees ltd"
"1003",597,538,3.7,"doom dooma roller flour mills ltd","esquire money guarantees ltd"
"1004",597,729,4.1,"graceful properties ltd","esquire money guarantees ltd"
"1005",597,943,3.63,"ispat sheets ltd","esquire money guarantees ltd"
"1006",597,963,4.31,"jagdishwar pharmaceuticals works ltd","esquire money guarantees ltd"
"1007",597,1160,3.54,"laffan software ltd","esquire money guarantees ltd"
"1008",597,1332,2.59,"mayuri finvest pvt ltd","esquire money guarantees ltd"
"1009",597,1415,3.27,"n e electronics ltd","esquire money guarantees ltd"
"1010",597,1431,2.45,"nageshwar investment ltd","esquire money guarantees ltd"
"1011",597,1564,2.95,"online information technologies ltd","esquire money guarantees ltd"
"1012",597,2266,4.44,"spirit inv fin pvt ltd","esquire money guarantees ltd"
"1013",597,2593,3.56,"vallantine finexim pvt ltd","esquire money guarantees ltd"
"1014",599,411,1.01,"chandrakaunsh traders pvt ltd","essar oil ltd"
"1015",599,598,11.45,"essar investments ltd","essar oil ltd"
"1016",599,600,7.73,"essar projects ltd","essar oil ltd"
"1017",599,601,16.01,"essar shipping ltd","essar oil ltd"
"1018",599,1852,1.65,"reclame commercials securities ltd","essar oil ltd"
"1019",602,411,1.38,"chandrakaunsh traders pvt ltd","essar steel ltd"
"1020",602,598,3.87,"essar investments ltd","essar steel ltd"
"1021",602,600,4.22,"essar projects ltd","essar steel ltd"
"1022",602,601,5.46,"essar shipping ltd","essar steel ltd"
"1023",602,1727,2.65,"prime holdings pvt ltd","essar steel ltd"
"1024",602,2071,1.23,"senthil trade business links pvt ltd","essar steel ltd"
"1025",604,352,3.98,"briggs trading company pvt ltd","essel propack ltd"
"1026",604,428,5.25,"churu trading company pvt ltd","essel propack ltd"
"1027",604,687,6.52,"ganjam trading company pvt ltd","essel propack ltd"
"1028",604,1566,1.12,"optimates finvest pvt ltd","essel propack ltd"
"1029",604,1693,3.82,"prajatma trading company pvt ltd","essel propack ltd"
"1030",604,1714,6.95,"premier finance trading company pvt ltd","essel propack ltd"
"1031",604,2322,1.78,"sudarshan shares stocks pvt ltd","essel propack ltd"
"1032",604,2739,1.17,"zee telefilms ltd","essel propack ltd"
"1033",606,193,26.01,"associated cement companies ltd","everest industries ltd"
"1034",607,997,1.21,"jbf finance ltd","everlon synthetics ltd"
"1035",610,1750,1.34,"punjab chemicals crop protection ltd","excel industries ltd"
"1036",612,803,4.74,"hathway investments pvt ltd","exide industries ltd"
"1037",615,2563,2.96,"upsurge investment finance ltd","explicit finance ltd"
"1038",617,251,5.3,"bambino investments trading company ltd","f a l industries ltd [merged]"
"1039",617,649,31.64,"forbes gokak ltd","f a l industries ltd [merged]"
"1040",617,2444,12.19,"tata chemicals ltd","f a l industries ltd [merged]"
"1041",617,2453,3.16,"tata investment corpn. ltd","f a l industries ltd [merged]"
"1042",618,159,3.85,"arvind chemicals ltd","f c g l industries ltd [merged]"
"1043",618,758,6,"gujarat nre ispat pvt ltd","f c g l industries ltd [merged]"
"1044",618,1305,17.7,"marley foods pvt ltd","f c g l industries ltd [merged]"
"1045",618,1320,2.6,"matangi traders investment pvt ltd","f c g l industries ltd [merged]"
"1046",618,2600,2.97,"vartika traders pvt ltd","f c g l industries ltd [merged]"
"1047",619,10,1.97,"a r leasing pvt ltd","f c l technologies products ltd"
"1048",619,340,1.94,"boeing investments pvt ltd","f c l technologies products ltd"
"1049",619,640,17.04,"flex engineering ltd","f c l technologies products ltd"
"1050",619,642,19.72,"flex industries ltd","f c l technologies products ltd"
"1051",619,643,30.29,"flex securities ltd","f c l technologies products ltd"
"1052",619,1951,3.27,"s r credits pvt ltd","f c l technologies products ltd"
"1053",620,581,3.08,"enam financial consultants pvt ltd","f d c ltd"
"1054",621,1341,1.56,"mega resources ltd","f g p ltd"
"1055",623,1272,5.09,"mahindra mahindra ltd","fairfield atlas ltd"
"1056",629,942,1.12,"ispat finance ltd","fiberweb (india) ltd"
"1057",630,106,3.4,"anil n kampani","fics consultancy services ltd"
"1058",630,157,5,"aruna n kampani","fics consultancy services ltd"
"1059",630,1061,7.1,"kampani consultants ltd","fics consultancy services ltd"
"1060",630,1432,3.7,"nagindas c kampani","fics consultancy services ltd"
"1061",630,1511,5.4,"nimesh n kampani","fics consultancy services ltd"
"1062",630,2049,1.5,"savita n kampani","fics consultancy services ltd"
"1063",632,1341,4.08,"mega resources ltd","filaments india ltd"
"1064",633,135,1.08,"apex enterprises india ltd","filatex india ltd"
"1065",633,252,1.08,"bang securities pvt ltd","filatex india ltd"
"1066",633,832,2.74,"hinduja finance corporation ltd","filatex india ltd"
"1067",633,1217,1.61,"m pallonji company pvt ltd","filatex india ltd"
"1068",633,1566,1.08,"optimates finvest pvt ltd","filatex india ltd"
"1069",633,2619,1.08,"videocon appliances ltd","filatex india ltd"
"1070",633,2623,1.08,"videocon international ltd","filatex india ltd"
"1071",634,14,1.27,"a to z securities ltd","financial eyes (india) ltd"
"1072",634,1083,8.52,"kaul securities ltd","financial eyes (india) ltd"
"1073",634,1905,4.22,"rs capital services ltd","financial eyes (india) ltd"
"1074",634,1982,4.17,"sahil financial services ltd","financial eyes (india) ltd"
"1075",635,2678,43.49,"vorin laboratories ltd [merged]","fine drugs chemicals ltd [merged]"
"1076",637,26,1.25,"acm educational foundation","first leasing co. of india ltd"
"1077",637,27,1,"acm medical foundation","first leasing co. of india ltd"
"1078",637,2246,9.33,"south india corporation agencies ltd","first leasing co. of india ltd"
"1079",637,2247,18.46,"south india house investments ltd","first leasing co. of india ltd"
"1080",640,10,20.08,"a r leasing pvt ltd","flex engineering ltd"
"1081",640,95,14.62,"anant overseas pvt ltd","flex engineering ltd"
"1082",640,122,18.31,"anshika consultants pvt ltd","flex engineering ltd"
"1083",640,340,14.92,"boeing investments pvt ltd","flex engineering ltd"
"1084",640,642,6.7,"flex industries ltd","flex engineering ltd"
"1085",640,655,1.66,"frontline capital srv lt","flex engineering ltd"
"1086",640,1246,2.3,"magic consultants pvt ltd","flex engineering ltd"
"1087",640,1951,2.07,"s r credits pvt ltd","flex engineering ltd"
"1088",641,122,1.2,"anshika consultants pvt ltd","flex foods ltd"
"1089",641,640,9.64,"flex engineering ltd","flex foods ltd"
"1090",641,642,34.94,"flex industries ltd","flex foods ltd"
"1091",641,643,9.44,"flex securities ltd","flex foods ltd"
"1092",644,478,1.28,"damani estates finance pvt ltd","floatglass india ltd [merged]"
"1093",646,832,9.4,"hinduja finance corporation ltd","fluidomat ltd"
"1094",649,465,2.85,"cyprus investments ltd","forbes gokak ltd"
"1095",649,2113,3.81,"shapoorji pallonji company ltd","forbes gokak ltd"
"1096",649,2305,35.9,"sterling investment corporation ltd","forbes gokak ltd"
"1097",650,234,16.24,"bajaj auto ltd","force motors ltd"
"1098",650,974,1.56,"jamnalal sons ltd","force motors ltd"
"1099",650,985,47.19,"jaya hind investments pvt ltd","force motors ltd"
"1100",654,1206,2.04,"luxury farms pvt ltd","fortis financial services ltd"
"1101",654,1279,10.41,"malav holdings ltd","fortis financial services ltd"
"1102",654,1282,1.71,"malvinder mohan singh","fortis financial services ltd"
"1103",654,1370,12.1,"modland wears pvt ltd","fortis financial services ltd"
"1104",654,1581,1.22,"oscar investments ltd","fortis financial services ltd"
"1105",654,1582,13.07,"oscar pharmaceuticals private ltd","fortis financial services ltd"
"1106",654,1835,23.39,"ranbaxy holding company","fortis financial services ltd"
"1107",654,2145,1.71,"shivender mohan singh","fortis financial services ltd"
"1108",654,2146,11.15,"shivi holdings ltd","fortis financial services ltd"
"1109",657,303,11.79,"bhupati investments finance ltd","futura polyesters ltd"
"1110",657,327,8.95,"bloomingdale investment finance pvt ltd","futura polyesters ltd"
"1111",657,1322,6.1,"matsyagandha investment finance pvt ltd","futura polyesters ltd"
"1112",659,21,1.11,"abbey finexim pvt ltd","futures securities ltd"
"1113",659,258,1.11,"bay inland finance pvt ltd","futures securities ltd"
"1114",659,293,1.11,"bhaskar fund management ltd","futures securities ltd"
"1115",659,538,4.66,"doom dooma roller flour mills ltd","futures securities ltd"
"1116",659,729,4.33,"graceful properties ltd","futures securities ltd"
"1117",659,943,4.11,"ispat sheets ltd","futures securities ltd"
"1118",659,963,4.55,"jagdishwar pharmaceuticals works ltd","futures securities ltd"
"1119",659,1160,4.22,"laffan software ltd","futures securities ltd"
"1120",659,1201,4.33,"logic infotech ltd","futures securities ltd"
"1121",659,1415,4.44,"n e electronics ltd","futures securities ltd"
"1122",659,1431,4.22,"nageshwar investment ltd","futures securities ltd"
"1123",659,1564,4.22,"online information technologies ltd","futures securities ltd"
"1124",659,1833,1.67,"ramkrishna fincap ltd","futures securities ltd"
"1125",660,1713,1.63,"premier commercial company pvt ltd","g claridge co. ltd"
"1126",660,1808,18.13,"rajendra somani","g claridge co. ltd"
"1127",660,1962,5.7,"s v trading agencies ltd","g claridge co. ltd"
"1128",660,1994,10,"sampada chemicals ltd","g claridge co. ltd"
"1129",660,2033,7.78,"sarvamangal trading company ltd","g claridge co. ltd"
"1130",660,2073,5.4,"sevantilal parekh","g claridge co. ltd"
"1131",660,2380,3.16,"surendra somani","g claridge co. ltd"
"1132",660,2395,5.54,"svaraj trading agencies ltd","g claridge co. ltd"
"1133",660,2540,4.47,"uni recyclers pvt ltd","g claridge co. ltd"
"1134",663,165,1.42,"asara sales investments pvt ltd","g g dandekar machine works ltd"
"1135",663,1043,5.41,"k v development investment company pvt ltd","g g dandekar machine works ltd"
"1136",663,1115,48.07,"kirloskar oil engines ltd","g g dandekar machine works ltd"
"1137",665,698,5.95,"general insurance corporation of india","g i c housing finance ltd"
"1138",665,857,7,"housing development finance corporation ltd","g i c housing finance ltd"
"1139",665,864,5.71,"i c i c i ltd [merged]","g i c housing finance ltd"
"1140",665,867,8.75,"i f c i ltd","g i c housing finance ltd"
"1141",665,2298,2.1,"state bank of india","g i c housing finance ltd"
"1142",665,2550,6.65,"united india insurance company ltd","g i c housing finance ltd"
"1143",667,165,1.56,"asara sales investments pvt ltd","g m m pfaudler ltd"
"1144",667,270,3,"best credits ltd","g m m pfaudler ltd"
"1145",667,803,1.28,"hathway investments pvt ltd","g m m pfaudler ltd"
"1146",667,1055,3.17,"kalyani steels ltd","g m m pfaudler ltd"
"1147",667,1111,41.6,"kirloskar brothers ltd","g m m pfaudler ltd"
"1148",667,1114,2.05,"kirloskar kisan equipment ltd","g m m pfaudler ltd"
"1149",667,1636,1.46,"parshwanath housing finance corpn. ltd","g m m pfaudler ltd"
"1150",667,2662,8.75,"virtuso investments pvt ltd","g m m pfaudler ltd"
"1151",668,716,25.12,"gmr investments pvt ltd","g m r industries ltd"
"1152",668,1840,5.19,"rao investments pvt ltd","g m r industries ltd"
"1153",668,2595,19.35,"varalakshmi investments pvt ltd","g m r industries ltd"
"1154",668,2602,6.41,"vasavi finance pvt ltd","g m r industries ltd"
"1155",671,2411,7.91,"systematix corporate services ltd","g o m industries ltd"
"1156",672,1504,4.98,"nicco uco alliance credit ltd","g s l (india) ltd"
"1157",675,421,1.64,"chiranjeevi traders pvt ltd","g t l ltd"
"1158",675,434,1.61,"claridges investments finance pvt ltd","g t l ltd"
"1159",675,680,2.97,"gajanan financial services pvt ltd","g t l ltd"
"1160",675,681,2.51,"gajmukh investments pvt ltd","g t l ltd"
"1161",675,706,1.43,"girish gelli","g t l ltd"
"1162",675,988,1.24,"jayanta madhab","g t l ltd"
"1163",675,1046,1.69,"kadirish finance investment pvt ltd","g t l ltd"
"1164",675,1276,8.27,"makan investments trading company ltd","g t l ltd"
"1165",675,1440,1.57,"nairutya finstock pvt ltd","g t l ltd"
"1166",675,1517,1.69,"niraj gelli","g t l ltd"
"1167",675,1532,1.57,"niya finstock pvt ltd","g t l ltd"
"1168",675,1533,1.57,"niyogi finstock pvt ltd","g t l ltd"
"1169",675,1717,1.86,"premkala gelli","g t l ltd"
"1170",675,1830,2.16,"ramesh gelli","g t l ltd"
"1171",675,2627,2.92,"vidyut investments ltd","g t l ltd"
"1172",676,497,1.86,"deoki devi patodia","g t n industries ltd"
"1173",676,1233,3.14,"madanlal patodia","g t n industries ltd"
"1174",676,1857,1.85,"reliance capital finance trust ltd","g t n industries ltd"
"1175",676,1858,2.08,"reliance capital ltd","g t n industries ltd"
"1176",678,1373,2.02,"mohair investments trading company pvt ltd","gabriel india ltd"
"1177",682,1858,3.34,"reliance capital ltd","galada power telecommunication ltd"
"1178",683,416,7.63,"chatterjee management services pvt ltd","galaxy entertainment corpn. ltd"
"1179",684,1372,6.14,"mogra investment pvt ltd","gammon india ltd"
"1180",684,1690,1.57,"pragmatic traders pvt ltd","gammon india ltd"
"1181",688,2453,1.07,"tata investment corpn. ltd","garware-wall ropes ltd"
"1182",689,360,4.49,"bunny investment finance pvt ltd","gati ltd"
"1183",689,740,5.39,"grow well commercial trading pvt ltd","gati ltd"
"1184",689,1020,3.59,"jubilee commercial trading pvt ltd","gati ltd"
"1185",689,1266,4.79,"mahendra kumar agarwal","gati ltd"
